insert into staff (first_name, age, salary) values ('Elvira', 11, 31);
insert into staff (first_name, age, salary) values ('Tremayne', 11, 41);
insert into staff (first_name, age, salary) values ('Eustacia', 86, 37);
insert into staff (first_name, age, salary) values ('Dalston', 96, 42);
insert into staff (first_name, age, salary) values ('Stephana', 86, 43);
insert into staff (first_name, age, salary) values ('Fancy', 77, 24);
insert into staff (first_name, age, salary) values ('Elyse', 60, 42);
insert into staff (first_name, age, salary) values ('Raleigh', 14, 43);
insert into staff (first_name, age, salary) values ('Kylen', 47, 20);
insert into staff (first_name, age, salary) values ('Andriette', 88, 24);
insert into staff (first_name, age, salary) values ('Elwyn', 20, 29);
insert into staff (first_name, age, salary) values ('Agnesse', 69, 32);
insert into staff (first_name, age, salary) values ('Lyndsey', 75, 32);
insert into staff (first_name, age, salary) values ('Rufe', 14, 27);
insert into staff (first_name, age, salary) values ('Fionna', 97, 29);
insert into staff (first_name, age, salary) values ('Lil', 95, 40);
insert into staff (first_name, age, salary) values ('Lian', 44, 21);
insert into staff (first_name, age, salary) values ('Darwin', 67, 26);
insert into staff (first_name, age, salary) values ('Jillana', 89, 34);
insert into staff (first_name, age, salary) values ('Willey', 88, 24);
insert into staff (first_name, age, salary) values ('Merrie', 18, 36);
insert into staff (first_name, age, salary) values ('Lyndsie', 11, 20);
insert into staff (first_name, age, salary) values ('Barri', 68, 30);
insert into staff (first_name, age, salary) values ('Gipsy', 43, 31);
insert into staff (first_name, age, salary) values ('Davide', 2, 31);
insert into staff (first_name, age, salary) values ('Durand', 25, 21);
insert into staff (first_name, age, salary) values ('Ilario', 7, 31);
insert into staff (first_name, age, salary) values ('Addia', 31, 32);
insert into staff (first_name, age, salary) values ('Ashlie', 53, 29);
insert into staff (first_name, age, salary) values ('Kirsti', 57, 38);
insert into staff (first_name, age, salary) values ('Jerry', 73, 25);
insert into staff (first_name, age, salary) values ('Salomon', 61, 28);
insert into staff (first_name, age, salary) values ('Adamo', 25, 26);
insert into staff (first_name, age, salary) values ('Alessandro', 19, 32);
insert into staff (first_name, age, salary) values ('Leona', 79, 41);
insert into staff (first_name, age, salary) values ('Hirsch', 17, 43);
